time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1696	1.32898	5.16823	0.204149	0.14435	radar	5.12856	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3936	1.40755	5.12873	0.222407	0.154241	lidar	1.28621	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.624	1.47904	4.95485	0.237406	0.16085	radar	3.55059	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8446	1.51592	4.91658	0.238364	0.154896	lidar	0.911462	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1132	1.56654	5.02571	0.240928	0.150381	radar	2.13939	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3934	1.62046	5.08137	0.24384	0.146466	lidar	1.9837	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6236	1.67334	5.00648	0.249235	0.144989	radar	0.656109	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8519	1.73989	4.98595	0.258704	0.146807	lidar	0.285471	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1117	1.8249	5.11046	0.271042	0.150637	radar	1.61332	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3535	1.86536	5.09276	0.269346	0.143377	lidar	0.450457	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6108	1.92923	5.18142	0.273666	0.141018	radar	0.733043	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8151	2.04978	5.1319	0.299702	0.155833	lidar	3.6214	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0864	2.15277	5.28135	0.313202	0.160012	radar	3.05299	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2952	2.28339	5.2378	0.339294	0.173996	lidar	3.2511	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4755	2.39611	4.98266	0.361963	0.185321	radar	12.0332	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7262	2.51923	5.02817	0.380061	0.192064	lidar	1.27836	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9481	2.61665	4.98321	0.391783	0.1938	radar	0.312255	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1797	2.77023	5.01853	0.418388	0.206698	lidar	1.795	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4327	2.8781	5.14987	0.426964	0.204964	radar	1.0599	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6351	2.96917	5.09205	0.435203	0.203452	lidar	1.79498	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8722	3.10853	5.17855	0.453062	0.209099	radar	4.12775	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0877	3.29499	5.20157	0.485843	0.226188	lidar	2.8832	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.3042	3.43486	5.10416	0.504545	0.232357	radar	3.54241	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5221	3.62681	5.1464	0.535678	0.247341	lidar	2.42925	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7351	3.74766	5.09916	0.54595	0.24589	radar	0.638746	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9541	3.91072	5.12567	0.566158	0.251989	lidar	0.505855	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1544	4.04711	4.98703	0.581647	0.254939	radar	1.97294	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3528	4.25044	5.0298	0.613297	0.269548	lidar	2.27376	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.567	4.4006	5.05351	0.62652	0.269314	radar	0.502503	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7422	4.58358	5.04463	0.65278	0.279212	lidar	1.51663	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.9051	4.73168	4.79404	0.673493	0.285898	radar	4.71865	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0705	4.96566	4.84752	0.712767	0.305279	lidar	3.90172	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.246	5.11107	4.78499	0.725979	0.303993	radar	0.977075	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3996	5.31425	4.79862	0.756059	0.315521	lidar	1.54132	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5611	5.45809	4.70499	0.769144	0.31388	radar	2.20551	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7376	5.62241	4.71568	0.783226	0.312648	lidar	0.119986	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8912	5.78858	4.61955	0.802256	0.315977	radar	1.0743	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0582	6.00741	4.69003	0.82957	0.324973	lidar	1.77472	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.2165	6.19495	4.70869	0.848837	0.327332	radar	1.21579	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3406	6.4476	4.76515	0.889082	0.345837	lidar	3.59188	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4816	6.63759	4.72199	0.909725	0.34888	radar	0.663989	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.6132	6.81069	4.68983	0.926021	0.347932	lidar	0.406935	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7657	7.0115	4.77132	0.942249	0.346498	radar	0.616892	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9426	7.19435	4.79772	0.94901	0.338449	lidar	2.1603	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0411	7.37067	4.61771	0.972816	0.344949	radar	4.07177	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1368	7.64417	4.69946	1.01521	0.364403	lidar	3.90852	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2609	7.84282	4.70792	1.03225	0.363368	radar	0.0950124	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.338	8.07385	4.70839	1.06574	0.375045	lidar	2.46734	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4398	8.27753	4.72681	1.08509	0.374942	radar	2.20711	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.5213	8.4473	4.64054	1.10196	0.373245	lidar	2.67724	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.6174	8.64413	4.58215	1.12116	0.374132	radar	0.411989	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.76	8.85223	4.62203	1.12913	0.366149	lidar	3.19868	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.842	9.05915	4.54557	1.15247	0.370877	radar	1.07452	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.962	9.30965	4.63761	1.17126	0.371421	lidar	3.23247	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0205	9.50773	4.4877	1.19784	0.379034	radar	2.62723	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.1026	9.76498	4.56867	1.22438	0.385068	lidar	1.36193	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1686	10.0099	4.64454	1.2498	0.38926	radar	7.73018	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.2186	10.2956	4.74108	1.28523	0.401616	lidar	2.00226	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2493	10.5062	4.59555	1.31538	0.411052	radar	3.67973	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.3042	10.8	4.72036	1.34662	0.419575	lidar	2.83727	20.371	11.0109	20.1663	10.864	0.722256	4.7934
